Category,Item,Quantity,id,name,category,quantity,current_out
Power Tools,M18 Roto Hammer,1.0,0,0,0,0,0
0,0,0.0,be7950f7-2765-424f-8687-c671c39d46ad,M18 Hedge Trimmer,Power Tools,1,1
